JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
57,59.8,65.5,67.8,67,71.4,76.4,76.6,75.2,74.1,66.4,61
62.2,59.4,60.1,64.4,64.9,70.1,78.8,78.3,73.4,70.5,65.1,58.9
