JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
29.23,29.2,29.21,29.13,29.08,29.05,29.1,29.07,29.05,29.09,29.19,29.26
29.25,29.21,29.2,29.16,28.84,29.06,29.11,29.1,29.05,29.09,29.19,29.22
