,p.sang.s,t.chion.n,x.sub.s
0,0.0030680327868852462,0.002381967213114754,0.0007008196721311476
1,0.18418536817487452,0.046272112857100846,0.00031240802868949216
2,0.3848106489957604,0.01819999927458349,1.3454328255253895e-05
3,0.44553209526866194,0.0036180717897211973,3.8670157737069655e-07
4,0.45767005168932456,0.0006263549657988894,1.0240001605975424e-08
5,0.45977735472637005,0.0001056758674855377,2.668457485405487e-10
6,0.46013310182347117,1.7750574682484164e-05,6.957521325136262e-12
7,0.4601928642848232,2.9792970502127544e-06,1.810285107070668e-13
8,0.4602028950089851,5.000271389906667e-07,5.761309972163174e-15
9,0.4602045786744281,8.389179570373462e-08,-7.344766131628772e-16
10,0.46020486095558716,1.4123848525107035e-08,-6.626235947653796e-15
