,p.sang.s,t.chion.n,x.sub.s
0,0.02,0.06,1.74
1,1.20067405382499,1.1655604477425263,0.7756488459673144
2,2.508517188217086,0.4584445791120135,0.033404500608483
3,2.9043502870839832,0.09113656400811825,0.0009601053899912451
4,2.983475624156964,0.015777420336021575,2.542394784697617e-05
5,2.9972127852854467,0.0026618972814664,6.625264970782184e-07
6,2.9995318419697288,0.0004471239045966417,1.7274182770759362e-08
7,2.9999214236039764,7.504629871836669e-05,4.494588567590191e-10
8,2.999986812241313,1.2595315407473089e-05,1.4304220829132145e-11
9,2.9999977877787987,2.1131725552351592e-06,-1.823563689382638e-12
10,2.999999627923143,3.5576934344041114e-07,-1.645166511073623e-11
