species,matric_pot,hyphal_rate,type
f.fom.n,-1.16,2.7555666958,smoothed
f.fom.n,-1.17,2.7263523287,smoothed
f.fom.n,-1.18,2.6971779594,smoothed
f.fom.n,-1.19,2.6680489633,smoothed
f.fom.n,-1.2,2.6389706444,smoothed
f.fom.n,-1.21,2.6099482342,smoothed
f.fom.n,-1.22,2.5809868899,smoothed
f.fom.n,-1.23,2.5520916938,smoothed
f.fom.n,-1.24,2.5232676518,smoothed
f.fom.n,-1.25,2.4945196922,smoothed
f.fom.n,-1.26,2.4658526647,smoothed
f.fom.n,-1.27,2.4372713395,smoothed
f.fom.n,-1.28,2.408780406,smoothed
f.fom.n,-1.29,2.3803844722,smoothed
f.fom.n,-1.3,2.3520880636,smoothed
f.fom.n,-1.31,2.3238956224,smoothed
f.fom.n,-1.32,2.295811507,smoothed
f.fom.n,-1.33,2.2678399909,smoothed
f.fom.n,-1.34,2.239985262,smoothed
f.fom.n,-1.35,2.2122514224,smoothed
f.fom.n,-1.36,2.1846424875,smoothed
f.fom.n,-1.37,2.1571623856,smoothed
f.fom.n,-1.38,2.1298149572,smoothed
f.fom.n,-1.39,2.102603955,smoothed
f.fom.n,-1.4,2.0755330431,smoothed
f.fom.n,-1.41,2.0486057969,smoothed
f.fom.n,-1.42,2.0218257027,smoothed
f.fom.n,-1.43,1.9951961578,smoothed
f.fom.n,-1.44,1.9687204697,smoothed
f.fom.n,-1.45,1.9424018567,smoothed
f.fom.n,-1.46,1.916243447,smoothed
f.fom.n,-1.47,1.8902482795,smoothed
f.fom.n,-1.48,1.8644193032,smoothed
f.fom.n,-1.49,1.8387593774,smoothed
f.fom.n,-1.5,1.8132712719,smoothed
f.fom.n,-1.51,1.787957667,smoothed
f.fom.n,-1.52,1.7628211539,smoothed
f.fom.n,-1.53,1.7378642345,smoothed
f.fom.n,-1.54,1.713089322,smoothed
f.fom.n,-1.55,1.6884987412,smoothed
f.fom.n,-1.56,1.6640947288,smoothed
f.fom.n,-1.57,1.6398794333,smoothed
f.fom.n,-1.58,1.6158549164,smoothed
f.fom.n,-1.59,1.5920231526,smoothed
f.fom.n,-1.6,1.5683860299,smoothed
f.fom.n,-1.61,1.5449453506,smoothed
f.fom.n,-1.62,1.5217028315,smoothed
f.fom.n,-1.63,1.4986601048,smoothed
f.fom.n,-1.64,1.4758187185,smoothed
f.fom.n,-1.65,1.4531801372,smoothed
f.fom.n,-1.66,1.4307457427,smoothed
f.fom.n,-1.67,1.4085168347,smoothed
f.fom.n,-1.68,1.3864946317,smoothed
f.fom.n,-1.69,1.3646802717,smoothed
f.fom.n,-1.7,1.3430748129,smoothed
f.fom.n,-1.71,1.3216792346,smoothed
f.fom.n,-1.72,1.3004944383,smoothed
f.fom.n,-1.73,1.2795212481,smoothed
f.fom.n,-1.74,1.2587604121,smoothed
f.fom.n,-1.75,1.238212603,smoothed
f.fom.n,-1.76,1.2178784193,smoothed
f.fom.n,-1.77,1.1977583859,smoothed
f.fom.n,-1.78,1.1778529555,smoothed
f.fom.n,-1.79,1.1581625094,smoothed
f.fom.n,-1.8,1.1386873588,smoothed
f.fom.n,-1.81,1.1194277454,smoothed
f.fom.n,-1.82,1.1003838428,smoothed
f.fom.n,-1.83,1.0815557574,smoothed
f.fom.n,-1.84,1.0629435297,smoothed
f.fom.n,-1.85,1.0445471353,smoothed
f.fom.n,-1.86,1.0263664861,smoothed
f.fom.n,-1.87,1.0084014313,smoothed
f.fom.n,-1.88,0.9906517585,smoothed
f.fom.n,-1.89,0.9731171952,smoothed
f.fom.n,-1.9,0.9557974096,smoothed
f.fom.n,-1.91,0.9386920121,smoothed
f.fom.n,-1.92,0.921800556,smoothed
f.fom.n,-1.93,0.9051225395,smoothed
f.fom.n,-1.94,0.8886574059,smoothed
f.fom.n,-1.95,0.8724045456,smoothed
f.fom.n,-1.96,0.856363297,smoothed
f.fom.n,-1.97,0.8405329478,smoothed
f.fom.n,-1.98,0.8249127359,smoothed
f.fom.n,-1.99,0.8095018511,smoothed
f.fom.n,-2.0,0.794299436,smoothed
f.fom.n,-2.01,0.7793045874,smoothed
f.fom.n,-2.02,0.7645163572,smoothed
f.fom.n,-2.03,0.7499337542,smoothed
f.fom.n,-2.04,0.7355557446,smoothed
f.fom.n,-2.05,0.7213812539,smoothed
f.fom.n,-2.06,0.7074091675,smoothed
f.fom.n,-2.07,0.6936383325,smoothed
f.fom.n,-2.08,0.6800675583,smoothed
f.fom.n,-2.09,0.6666956183,smoothed
f.fom.n,-2.1,0.6535212509,smoothed
f.fom.n,-2.11,0.6405431607,smoothed
f.fom.n,-2.12,0.6277600194,smoothed
f.fom.n,-2.13,0.6151704676,smoothed
f.fom.n,-2.14,0.6027731154,smoothed
f.fom.n,-2.15,0.5905665439,smoothed
f.fom.n,-2.16,0.578549306,smoothed
f.fom.n,-2.17,0.566719928,smoothed
f.fom.n,-2.18,0.5550769103,smoothed
f.fom.n,-2.19,0.5436187288,smoothed
f.fom.n,-2.2,0.532343836,smoothed
f.fom.n,-2.21,0.5212506617,smoothed
f.fom.n,-2.22,0.5103376147,smoothed
f.fom.n,-2.23,0.4996030835,smoothed
f.fom.n,-2.24,0.4890454372,smoothed
f.fom.n,-2.25,0.4786630272,smoothed
f.fom.n,-2.26,0.4684541875,smoothed
f.fom.n,-2.27,0.458417236,smoothed
f.fom.n,-2.28,0.4485504759,smoothed
f.fom.n,-2.29,0.4388521958,smoothed
f.fom.n,-2.3,0.4293206718,smoothed
f.fom.n,-2.31,0.4199541674,smoothed
f.fom.n,-2.32,0.4107509353,smoothed
f.fom.n,-2.33,0.4017092176,smoothed
f.fom.n,-2.34,0.3928272475,smoothed
f.fom.n,-2.35,0.3841032494,smoothed
f.fom.n,-2.36,0.3755354405,smoothed
f.fom.n,-2.37,0.3671220312,smoothed
f.fom.n,-2.38,0.3588612259,smoothed
f.fom.n,-2.39,0.3507512246,smoothed
f.fom.n,-2.4,0.3427902226,smoothed
f.fom.n,-2.41,0.3349764121,smoothed
f.fom.n,-2.42,0.327307983,smoothed
f.fom.n,-2.43,0.319783123,smoothed
f.fom.n,-2.44,0.3124000191,smoothed
f.fom.n,-2.45,0.305156858,smoothed
f.fom.n,-2.46,0.2980518267,smoothed
f.fom.n,-2.47,0.2910831137,smoothed
f.fom.n,-2.48,0.2842489089,smoothed
f.fom.n,-2.49,0.2775474051,smoothed
f.fom.n,-2.5,0.2709767982,smoothed
f.fom.n,-2.51,0.2645352877,smoothed
f.fom.n,-2.52,0.2582210779,smoothed
f.fom.n,-2.53,0.2520323779,smoothed
f.fom.n,-2.54,0.2459674024,smoothed
f.fom.n,-2.55,0.2400243725,smoothed
f.fom.n,-2.56,0.234201516,smoothed
f.fom.n,-2.57,0.2284970678,smoothed
f.fom.n,-2.58,0.2229092709,smoothed
f.fom.n,-2.59,0.2174363764,smoothed
f.fom.n,-2.6,0.2120766443,smoothed
f.fom.n,-2.61,0.206828344,smoothed
f.fom.n,-2.62,0.2016897543,smoothed
f.fom.n,-2.63,0.1966591644,smoothed
f.fom.n,-2.64,0.1917348742,smoothed
f.fom.n,-2.65,0.1869151944,smoothed
f.fom.n,-2.66,0.1821984471,smoothed
f.fom.n,-2.67,0.1775829663,smoothed
f.fom.n,-2.68,0.1730670981,smoothed
f.fom.n,-2.69,0.1686492009,smoothed
f.fom.n,-2.7,0.1643276461,smoothed
f.fom.n,-2.71,0.1601008182,smoothed
f.fom.n,-2.72,0.1559671151,smoothed
f.fom.n,-2.73,0.1519249484,smoothed
f.fom.n,-2.74,0.1479727436,smoothed
f.fom.n,-2.75,0.1441089406,smoothed
f.fom.n,-2.76,0.1403319938,smoothed
f.fom.n,-2.77,0.1366403721,smoothed
f.fom.n,-2.78,0.1330325596,smoothed
f.fom.n,-2.79,0.1295070553,smoothed
f.fom.n,-2.8,0.1260623738,smoothed
f.fom.n,-2.81,0.122697045,smoothed
f.fom.n,-2.82,0.1194096146,smoothed
f.fom.n,-2.83,0.1161986441,smoothed
f.fom.n,-2.84,0.113062711,smoothed
f.fom.n,-2.85,0.1100004089,smoothed
f.fom.n,-2.86,0.1070103477,smoothed
f.fom.n,-2.87,0.1040911535,smoothed
f.fom.n,-2.88,0.1012414689,smoothed
f.fom.n,-2.89,0.0984599531,smoothed
f.fom.n,-2.9,0.0957452819,smoothed
f.fom.n,-2.91,0.0930961477,smoothed
f.fom.n,-2.92,0.0905112597,smoothed
f.fom.n,-2.93,0.0879893437,smoothed
f.fom.n,-2.94,0.0855291426,smoothed
f.fom.n,-2.95,0.0831294159,smoothed
f.fom.n,-2.96,0.08078894,smoothed
f.fom.n,-2.97,0.0785065082,smoothed
f.fom.n,-2.98,0.0762809307,smoothed
f.fom.n,-2.99,0.0741110346,smoothed
f.fom.n,-3.0,0.0719956636,smoothed
f.fom.n,-3.01,0.0699336785,smoothed
f.fom.n,-3.02,0.0679239568,smoothed
f.fom.n,-3.03,0.0659653927,smoothed
f.fom.n,-3.04,0.064056897,smoothed
f.fom.n,-3.05,0.0621973975,smoothed
f.fom.n,-3.06,0.0603858383,smoothed
f.fom.n,-3.07,0.0586211801,smoothed
f.fom.n,-3.08,0.0569024,smoothed
f.fom.n,-3.09,0.0552284917,smoothed
f.fom.n,-3.1,0.0535984649,smoothed
f.fom.n,-3.11,0.0520113457,smoothed
f.fom.n,-3.12,0.0504661763,smoothed
f.fom.n,-3.13,0.0489620148,smoothed
f.fom.n,-3.14,0.0474979353,smoothed
f.fom.n,-3.15,0.0460730277,smoothed
f.fom.n,-3.16,0.0446863975,smoothed
f.fom.n,-3.17,0.043337166,smoothed
f.fom.n,-3.18,0.0420244696,smoothed
f.fom.n,-3.19,0.0407474602,smoothed
f.fom.n,-3.2,0.0395053049,smoothed
f.fom.n,-3.21,0.0382971859,smoothed
f.fom.n,-3.22,0.0371223002,smoothed
f.fom.n,-3.23,0.0359798596,smoothed
f.fom.n,-3.24,0.0348690906,smoothed
f.fom.n,-3.25,0.0337892341,smoothed
f.fom.n,-3.26,0.0327395454,smoothed
f.fom.n,-3.27,0.0317192941,smoothed
f.fom.n,-3.28,0.0307277635,smoothed
f.fom.n,-3.29,0.0297642512,smoothed
f.fom.n,-3.3,0.0288280682,smoothed
f.fom.n,-3.31,0.0279185392,smoothed
f.fom.n,-3.32,0.0270350024,smoothed
f.fom.n,-3.33,0.0261768089,smoothed
f.fom.n,-3.34,0.0253433234,smoothed
f.fom.n,-3.35,0.024533923,smoothed
f.fom.n,-3.36,0.0237479978,smoothed
f.fom.n,-3.37,0.0229849506,smoothed
f.fom.n,-3.38,0.0222441963,smoothed
f.fom.n,-3.39,0.0215251622,smoothed
f.fom.n,-3.4,0.0208272878,smoothed
f.fom.n,-3.41,0.0201500243,smoothed
f.fom.n,-3.42,0.0194928347,smoothed
f.fom.n,-3.43,0.0188551937,smoothed
f.fom.n,-3.44,0.0182365871,smoothed
f.fom.n,-3.45,0.0176365122,smoothed
f.fom.n,-3.46,0.0170544772,smoothed
f.fom.n,-3.47,0.0164900013,smoothed
f.fom.n,-3.48,0.0159426143,smoothed
f.fom.n,-3.49,0.0154118566,smoothed
f.fom.n,-3.5,0.014897279,smoothed
f.fom.n,-3.51,0.0143984424,smoothed
f.fom.n,-3.52,0.0139149178,smoothed
f.fom.n,-3.53,0.0134462861,smoothed
f.fom.n,-3.54,0.0129921378,smoothed
f.fom.n,-3.55,0.0125520732,smoothed
f.fom.n,-3.56,0.0121257016,smoothed
f.fom.n,-3.57,0.0117126418,smoothed
f.fom.n,-3.58,0.0113125215,smoothed
f.fom.n,-3.59,0.0109249773,smoothed
f.fom.n,-3.6,0.0105496546,smoothed
f.fom.n,-3.61,0.0101862072,smoothed
f.fom.n,-3.62,0.0098342975,smoothed
f.fom.n,-3.63,0.0094935961,smoothed
f.fom.n,-3.64,0.0091637816,smoothed
f.fom.n,-3.65,0.0088445406,smoothed
f.fom.n,-3.66,0.0085355674,smoothed
f.fom.n,-3.67,0.0082365642,smoothed
f.fom.n,-3.68,0.0079472404,smoothed
f.fom.n,-3.69,0.0076673128,smoothed
f.fom.n,-3.7,0.0073965055,smoothed
f.fom.n,-3.71,0.0071345495,smoothed
f.fom.n,-3.72,0.0068811828,smoothed
f.fom.n,-3.73,0.0066361503,smoothed
f.fom.n,-3.74,0.0063992031,smoothed
f.fom.n,-3.75,0.0061700992,smoothed
f.fom.n,-3.76,0.0059486028,smoothed
f.fom.n,-3.77,0.0057344843,smoothed
f.fom.n,-3.78,0.0055275202,smoothed
f.fom.n,-3.79,0.0053274928,smoothed
f.fom.n,-3.8,0.0051341905,smoothed
f.fom.n,-3.81,0.0049474072,smoothed
f.fom.n,-3.82,0.0047669424,smoothed
f.fom.n,-3.83,0.0045926011,smoothed
f.fom.n,-3.84,0.0044241935,smoothed
f.fom.n,-3.85,0.0042615352,smoothed
f.fom.n,-3.86,0.0041044466,smoothed
f.fom.n,-3.87,0.0039527533,smoothed
f.fom.n,-3.88,0.0038062857,smoothed
f.fom.n,-3.89,0.0036648788,smoothed
f.fom.n,-3.9,0.0035283725,smoothed
f.fom.n,-3.91,0.003396611,smoothed
f.fom.n,-3.92,0.003269443,smoothed
f.fom.n,-3.93,0.0031467214,smoothed
f.fom.n,-3.94,0.0030283034,smoothed
f.fom.n,-3.95,0.0029140504,smoothed
f.fom.n,-3.96,0.0028038275,smoothed
f.fom.n,-3.97,0.002697504,smoothed
f.fom.n,-3.98,0.0025949529,smoothed
f.fom.n,-3.99,0.0024960508,smoothed
f.fom.n,-4.0,0.0024006782,smoothed
f.fom.n,-4.01,0.0023087188,smoothed
f.fom.n,-4.02,0.0022200599,smoothed
f.fom.n,-4.03,0.0021345922,smoothed
f.fom.n,-4.04,0.0020522096,smoothed
f.fom.n,-4.05,0.0019728092,smoothed
f.fom.n,-4.06,0.0018962912,smoothed
f.fom.n,-4.07,0.0018225588,smoothed
f.fom.n,-4.08,0.0017515181,smoothed
f.fom.n,-4.09,0.0016830782,smoothed
f.fom.n,-4.1,0.0016171507,smoothed
f.fom.n,-4.11,0.0015536504,smoothed
f.fom.n,-4.12,0.0014924942,smoothed
f.fom.n,-4.13,0.001433602,smoothed
f.fom.n,-4.14,0.0013768959,smoothed
f.fom.n,-4.15,0.0013223006,smoothed
f.fom.n,-4.16,0.001269743,smoothed
f.fom.n,-4.17,0.0012191525,smoothed
f.fom.n,-4.18,0.0011704607,smoothed
f.fom.n,-4.19,0.0011236012,smoothed
f.fom.n,-4.2,0.0010785099,smoothed
f.fom.n,-4.21,0.0010351246,smoothed
f.fom.n,-4.22,0.0009933852,smoothed
f.fom.n,-4.23,0.0009532336,smoothed
f.fom.n,-4.24,0.0009146134,smoothed
f.fom.n,-4.25,0.0008774701,smoothed
f.fom.n,-4.26,0.0008417511,smoothed
f.fom.n,-4.27,0.0008074053,smoothed
f.fom.n,-4.28,0.0007743835,smoothed
f.fom.n,-4.29,0.000742638,smoothed
f.fom.n,-4.3,0.0007121226,smoothed
f.fom.n,-4.31,0.0006827929,smoothed
f.fom.n,-4.32,0.0006546057,smoothed
f.fom.n,-4.33,0.0006275194,smoothed
f.fom.n,-4.34,0.0006014936,smoothed
f.fom.n,-4.35,0.0005764897,smoothed
f.fom.n,-4.36,0.0005524699,smoothed
f.fom.n,-4.37,0.0005293979,smoothed
f.fom.n,-4.38,0.0005072387,smoothed
f.fom.n,-4.39,0.0004859585,smoothed
f.fom.n,-4.4,0.0004655245,smoothed
f.fom.n,-4.41,0.0004459051,smoothed
f.fom.n,-4.42,0.0004270699,smoothed
f.fom.n,-4.43,0.0004089893,smoothed
f.fom.n,-4.44,0.0003916351,smoothed
f.fom.n,-4.45,0.0003749797,smoothed
f.fom.n,-4.46,0.0003589968,smoothed
f.fom.n,-4.47,0.0003436607,smoothed
f.fom.n,-4.48,0.0003289469,smoothed
f.fom.n,-4.49,0.0003148316,smoothed
f.fom.n,-4.5,0.0003012918,smoothed
f.fom.n,-4.51,0.0002883055,smoothed
f.fom.n,-4.52,0.0002758514,smoothed
f.fom.n,-4.53,0.0002639088,smoothed
f.fom.n,-4.54,0.000252458,smoothed
f.fom.n,-4.55,0.00024148,smoothed
f.fom.n,-4.56,0.0002309562,smoothed
f.fom.n,-4.57,0.0002208689,smoothed
f.fom.n,-4.58,0.0002112011,smoothed
f.fom.n,-4.59,0.0002019363,smoothed
f.fom.n,-4.6,0.0001930586,smoothed
f.fom.n,-4.61,0.0001845527,smoothed
f.fom.n,-4.62,0.000176404,smoothed
f.fom.n,-4.63,0.0001685982,smoothed
f.fom.n,-4.64,0.0001611216,smoothed
f.fom.n,-4.65,0.0001539613,smoothed
f.fom.n,-4.66,0.0001471044,smoothed
f.fom.n,-4.67,0.0001405388,smoothed
f.fom.n,-4.68,0.0001342529,smoothed
f.fom.n,-4.69,0.0001282353,smoothed
f.fom.n,-4.7,0.0001224752,smoothed
f.fom.n,-4.71,0.0001169621,smoothed
f.fom.n,-4.72,0.000111686,smoothed
f.fom.n,-4.73,0.0001066372,smoothed
f.fom.n,-4.74,0.0001018065,smoothed
f.fom.n,-4.75,9.71849220832669e-05,smoothed
f.fom.n,-4.76,9.27638513088453e-05,smoothed
f.fom.n,-4.77,8.8535e-05,smoothed
f.fom.n,-4.78,8.4490570643307e-05,smoothed
f.fom.n,-4.79,8.06227922566247e-05,smoothed
f.fom.n,-4.8,7.69243787893117e-05,smoothed
f.fom.n,-4.81,7.3388283636578e-05,smoothed
f.fom.n,-4.82,7.00077362052341e-05,smoothed
f.fom.n,-4.83,6.67762318715795e-05,smoothed
f.fom.n,-4.84,6.36875222714872e-05,smoothed
f.fom.n,-4.85,6.07356059130646e-05,smoothed
f.fom.n,-4.86,5.79147191025093e-05,smoothed
f.fom.n,-4.87,5.52193271739845e-05,smoothed
f.fom.n,-4.88,5.26441160145669e-05,smoothed
f.fom.n,-4.89,5.0184e-05,smoothed
f.fom.n,-4.9,4.7834e-05,smoothed
f.fom.n,-4.91,4.5589564288602e-05,smoothed
f.fom.n,-4.92,4.34460653052759e-05,smoothed
f.fom.n,-4.93,4.13992077647603e-05,smoothed
f.fom.n,-4.94,3.94448383446707e-05,smoothed
f.fom.n,-4.95,3.7579e-05,smoothed
f.fom.n,-4.96,3.57977880725267e-05,smoothed
f.fom.n,-4.97,3.40976190603691e-05,smoothed
f.fom.n,-4.98,3.24749496891044e-05,smoothed
f.fom.n,-4.99,3.09264086292968e-05,smoothed
f.fom.n,-5.0,2.94487634428604e-05,smoothed
f.fom.n,-1.0,2.9952380952381,measured
f.fom.n,-1.5,1.54761904761905,measured
f.fom.n,-2.5,0.676190476190476,measured
f.fom.n,-3.5,0.238095238095238,measured
f.fom.n,-4.5,0.119047619047619,measured
f.fom.n,0.0,0.0,measured
f.fom.n,-0.5,4.71428571428571,measured
