Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,52.1,57.5,60.6,68.6,77.0,81.7,84.8,88.6,85.8,71.5,58.7,55.5
2020,57.9,55.2,68.9,69.6,78.6,83.1,88.5,88.1,78.9,72.3,65.7,54.5
2021,53.3,49.4,64.9,70.6,75.5,82.0,82.3,85.4,82.1,73.3,61.1,64.2
2022,50.4,50.1,61.9,74.3,83.0,87.7,89.8,86.8,82.5,72.3,60.3,55.4
