Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,5.3,7.3,23.5,42.9,51.7,66.2,72.2,66.7,62.2,45.0,28.5,17.6
2020,15.6,15.6,32.3,41.9,55.2,70.1,73.6,69.6,56.2,39.2,34.7,19.9
2021,18.4,6.1,36.0,43.6,56.2,70.7,71.8,71.3,62.3,51.4,32.2,18.6
2022,5.0,6.8,26.6,37.0,56.9,67.4,70.6,68.8,61.6,48.0,31.9,14.2
