Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,50.7,46.8,58.5,69.6,68.7,82.4,88.4,89.1,80.6,68.7,60.2,49.7
2020,52.7,55.6,55.9,65.8,78.4,83.2,89.2,92.4,85.3,75.8,61.0,53.1
2021,52.5,56.7,56.7,70.1,75.9,88.7,91.7,87.3,84.1,68.2,66.4,52.8
2022,54.1,55.1,62.9,70.8,78.3,88.4,92.3,90.2,84.2,72.8,55.2,51.1
