Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,37.2,42.2,46.8,62.4,71.0,76.4,82.1,80.1,76.5,64.1,46.1,42.1
2020,42.4,43.8,53.2,55.3,63.8,77.0,83.9,79.6,70.2,61.9,54.3,41.4
2021,38.6,37.8,51.2,58.2,66.1,76.6,80.9,80.9,73.2,66.3,47.9,47.6
2022,34.6,42.6,50.4,57.0,67.8,76.0,81.1,80.4,72.7,58.2,52.6,40.1
