species,matric_pot,hyphal_rate,type
p.har.n,-1.37,1.4293057959,smoothed
p.har.n,-1.38,1.4213710271,smoothed
p.har.n,-1.39,1.4133981689,smoothed
p.har.n,-1.4,1.4053883589,smoothed
p.har.n,-1.41,1.3973427347,smoothed
p.har.n,-1.42,1.3892624339,smoothed
p.har.n,-1.43,1.3811485933,smoothed
p.har.n,-1.44,1.3730023491,smoothed
p.har.n,-1.45,1.3648248364,smoothed
p.har.n,-1.46,1.356617189,smoothed
p.har.n,-1.47,1.3483805392,smoothed
p.har.n,-1.48,1.3401160174,smoothed
p.har.n,-1.49,1.3318247521,smoothed
p.har.n,-1.5,1.3235078694,smoothed
p.har.n,-1.51,1.3151664928,smoothed
p.har.n,-1.52,1.3068017431,smoothed
p.har.n,-1.53,1.298414738,smoothed
p.har.n,-1.54,1.2900065921,smoothed
p.har.n,-1.55,1.2815784163,smoothed
p.har.n,-1.56,1.2731313177,smoothed
p.har.n,-1.57,1.2646663997,smoothed
p.har.n,-1.58,1.2561847611,smoothed
p.har.n,-1.59,1.2476874968,smoothed
p.har.n,-1.6,1.2391756965,smoothed
p.har.n,-1.61,1.2306504453,smoothed
p.har.n,-1.62,1.2221128232,smoothed
p.har.n,-1.63,1.2135639048,smoothed
p.har.n,-1.64,1.2050047592,smoothed
p.har.n,-1.65,1.1964364499,smoothed
p.har.n,-1.66,1.1878600343,smoothed
p.har.n,-1.67,1.1792765637,smoothed
p.har.n,-1.68,1.170687083,smoothed
p.har.n,-1.69,1.1620926308,smoothed
p.har.n,-1.7,1.1534942386,smoothed
p.har.n,-1.71,1.1448929314,smoothed
p.har.n,-1.72,1.1362897266,smoothed
p.har.n,-1.73,1.1276856349,smoothed
p.har.n,-1.74,1.119081659,smoothed
p.har.n,-1.75,1.1104787943,smoothed
p.har.n,-1.76,1.1018780281,smoothed
p.har.n,-1.77,1.0932803401,smoothed
p.har.n,-1.78,1.0846867015,smoothed
p.har.n,-1.79,1.0760980753,smoothed
p.har.n,-1.8,1.0675154162,smoothed
p.har.n,-1.81,1.0589396699,smoothed
p.har.n,-1.82,1.0503717737,smoothed
p.har.n,-1.83,1.0418126559,smoothed
